city,lat,lng,country,iso2,admin_name,capital,population,population_proper,district
Dematawewa,8.28333,80.66667,Sri Lanka,LK,North Central,,,,Anuradhapura
Dematawewa,8.28333,80.58333,Sri Lanka,LK,North Central,,,,Anuradhapura
Demategama,8.21667,80.5,Sri Lanka,LK,North Central,,,,Anuradhapura
Dematewa,8.0811,80.3222,Sri Lanka,LK,North Western,,,,Kurunegala
Dematewa,7.9887,80.3115,Sri Lanka,LK,North Western,,,,Kurunegala
Dematewa,7.88333,80.21667,Sri Lanka,LK,North Western,,,,Kurunegala
Dembatagastenna,7.36667,80.63333,Sri Lanka,LK,Central,,,,Kandy
Dembatanpitiya,7.2177,80.3003,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Dembawa,7.71667,80.56667,Sri Lanka,LK,Central,,,,Matale
Dembawatawana,7.76667,80.56667,Sri Lanka,LK,Southern,,,,
Demettanella,7.43333,81.06667,Sri Lanka,LK,Uva,,,,Badulla
Deminigoda,6.085,80.1438,Sri Lanka,LK,Southern,,,,
Demodara,6.9002,81.0555,Sri Lanka,LK,Uva,,,,Badulla
Demodara,6.31667,80.9,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Demunnawa,8.0267,80.6792,Sri Lanka,LK,North Central,,,,Anuradhapura
Denagama East,6.1146,80.6606,Sri Lanka,LK,Southern,,,,Matara
Denagama West,6.1096,80.6427,Sri Lanka,LK,Southern,,,,Matara
Denagamuwa,7.4956,80.392,Sri Lanka,LK,North Western,,,,Kurunegala
Denagiriya,7.0621,81.5663,Sri Lanka,LK,Uva,,,,Moneragala
Denagoda,6.3117,80.0857,Sri Lanka,LK,Southern,,,,Galle
Denamure,7.0635,80.8945,Sri Lanka,LK,Central,,,,Nuwara Eliya
Denamure Udagama,7.0637,80.8999,Sri Lanka,LK,Central,,,,Nuwara Eliya
Denapitiya,7.28333,80.85,Sri Lanka,LK,Central,,,,Kandy
Denawaka,7.0674,80.3623,Sri Lanka,LK,Sabaragamuwa,,,,Kegalle
Denawaka Udawaka,6.6139,80.5617,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Denihena,6.5977,80.7198,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Denikade,6.6851,80.1493,Sri Lanka,LK,Western,,,,Kalutara
Denike,7.1274,80.7751,Sri Lanka,LK,Central,,,,Nuwara Eliya
Denipalla,6.5822,80.6454,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Denipitiya,5.96667,80.45,Sri Lanka,LK,Southern,,,,
Deniya,7.4515,79.8635,Sri Lanka,LK,North Western,,,,Puttalam
Deniyagama,7.1157,80.7893,Sri Lanka,LK,Central,,,,Nuwara Eliya
Deniyahena,6.9045,80.4953,Sri Lanka,LK,Central,,,,Nuwara Eliya
Deniyakumbura,7.4644,80.6473,Sri Lanka,LK,Central,,,,Matale
Deniyaya,6.3461,80.5515,Sri Lanka,LK,Southern,,,,Matara
Deniyegoda,6,80.71667,Sri Lanka,LK,Southern,,,,Hambantota
Deniyegoda,6.0117,80.308,Sri Lanka,LK,Southern,,,,Galle
Denkandanda,6.2636,80.5918,Sri Lanka,LK,Southern,,,,Matara
Dennewa,7.9578,80.5665,Sri Lanka,LK,North Central,,,,Anuradhapura
Denuwala,5.9658,80.384,Sri Lanka,LK,Southern,,,,Matara
Denwaka Pathakada,6.6366,80.5041,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Depedene,6.45,80.53333,Sri Lanka,LK,Sabaragamuwa,,,,Ratnapura
Depelamulla,6.1392,80.8548,Sri Lanka,LK,Southern,,,,Hambantota
Derangala,6.2432,80.4706,Sri Lanka,LK,Southern,,,,Matara
Derangala Colony First Tract,6.2239,80.4447,Sri Lanka,LK,Southern,,,,Matara
Derangala Colony Fourth Track,6.2622,80.4566,Sri Lanka,LK,Southern,,,,Matara
